Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Carmine Budd,03/05/2012,03/05/2022,May,Tuesday,15
Walker Capron,30/08/2015,30/08/2022,August,Tuesday,15
Hollyanne Tomaszewicz,03/05/2014,03/05/2022,May,Tuesday,15
Johna Kordova,29/11/2012,29/11/2022,November,Tuesday,12
Brit Craze,29/12/2012,29/12/2022,December,Thursday,20
Babs Swaysland,21/04/2013,21/04/2022,April,Thursday,11
Ronica Proppers,07/03/2015,07/03/2022,March,Monday,8
Sasha Corsor,09/08/2013,09/08/2022,August,Tuesday,15
Grethel Husset,07/08/2015,07/08/2022,August,Friday,24
Lotta Ucceli,17/06/2015,17/06/2022,June,Friday,30
Gerrie Bonehill,05/11/2012,05/11/2022,November,Friday,39
Buckie Ezzle,29/08/2015,29/08/2022,August,Monday,12
Kizzie Columbine,30/06/2012,30/06/2022,June,Thursday,12
Bobbie Cobbing,28/09/2012,28/09/2022,September,Wednesday,7
Dasha Traite,08/04/2014,08/04/2022,April,Friday,55
Janetta Dressell,26/08/2015,26/08/2022,August,Friday,24
Randall Barnfield,05/02/2012,05/02/2022,February,Friday,31
Vonni Mullin,21/03/2013,21/03/2022,March,Monday,8
Reg Watting,19/02/2012,19/02/2022,February,Friday,31
Stanley Monks,15/01/2012,15/01/2022,January,Friday,33
Cori Oolahan,25/11/2012,25/11/2022,November,Friday,39
Killian Cater,23/01/2015,23/01/2022,January,Friday,33
Angil Grundy,24/12/2011,24/12/2022,December,Friday,45
Winston Coltan,29/07/2013,29/07/2022,July,Friday,49
Elianora Killshaw,07/04/2014,07/04/2022,April,Thursday,11
Elsa Yakutin,03/07/2012,03/07/2022,July,Friday,49
Melodie Maine,15/10/2011,15/10/2022,October,Friday,32
Gena Hollyman,14/01/2013,14/01/2022,January,Friday,33
Vallie Beetles,21/05/2015,21/05/2022,May,Friday,31
Jada Lindenman,04/09/2014,04/09/2022,September,Friday,36
Consolata Augur,09/09/2013,09/09/2022,September,Friday,36
Gail Farnish,06/11/2012,06/11/2022,November,Friday,39
Jdavie Chard,20/07/2013,20/07/2022,July,Wednesday,19
Hartwell Drakeley,21/01/2014,21/01/2022,January,Friday,33
Tanitansy Lowther,04/12/2012,04/12/2022,December,Friday,45
Cherie Himsworth,02/12/2011,02/12/2022,December,Friday,45
Pail Weadick,21/04/2015,21/04/2022,April,Thursday,11
Ivy Bridgen,06/03/2012,06/03/2022,March,Friday,31
Porty Lowdiane,31/01/2015,31/01/2022,January,Monday,14
Emylee Shawel,02/05/2014,02/05/2022,May,Monday,7
Hayward MacKellen,29/04/2014,29/04/2022,April,Friday,55
Charita Mabee,27/08/2013,27/08/2022,August,Friday,24
Lelah Huyghe,16/10/2011,16/10/2022,October,Friday,32
Audre Balsdon,16/10/2012,16/10/2022,October,Friday,32
Melesa Carillo,23/07/2013,23/07/2022,July,Friday,49
Penny Nertney,24/04/2012,24/04/2022,April,Friday,55
Devan Soppett,16/07/2015,16/07/2022,July,Friday,49
Philippe Plume,16/08/2013,16/08/2022,August,Tuesday,15
Hunt Zamboniari,01/12/2013,01/12/2022,December,Thursday,20
Ralina O'Lunny,29/05/2014,29/05/2022,May,Friday,31
Marianne Doig,08/11/2011,08/11/2022,November,Tuesday,12
Hildegaard Loveredge,03/02/2012,03/02/2022,February,Thursday,12
Renee Ingray,26/07/2012,26/07/2022,July,Tuesday,12
Stevana Baddiley,16/02/2015,16/02/2022,February,Wednesday,8
Rafaelita Punshon,09/11/2011,09/11/2022,November,Wednesday,17
Dacie Harnetty,24/03/2012,24/03/2022,March,Thursday,19
Davidde Linch,22/01/2015,22/01/2022,January,Friday,33
Helsa Parham,04/05/2014,04/05/2022,May,Wednesday,8
Gustave Pickervance,03/11/2012,03/11/2022,November,Thursday,13
Stearn Quilleash,18/09/2011,18/09/2022,September,Friday,36
Bernhard Pakes,09/04/2013,09/04/2022,April,Friday,55
Zebadiah Nudde,09/11/2011,09/11/2022,November,Wednesday,17
Edgardo Bickell,31/03/2014,31/03/2022,March,Thursday,19
Alane Biddiss,29/07/2012,29/07/2022,July,Friday,49
Marylynne Hinckesman,10/10/2014,10/10/2022,October,Monday,14
Leslie Hann,24/05/2013,24/05/2022,May,Tuesday,15
Johna Degue,17/02/2012,17/02/2022,February,Thursday,12
Leupold Paladino,30/04/2014,30/04/2022,April,Friday,55
Adham Purrier,17/05/2012,17/05/2022,May,Tuesday,15
Adlai Trippitt,22/08/2013,22/08/2022,August,Monday,12
Anthony Paolazzi,17/12/2013,17/12/2022,December,Friday,45
Muhammad Daysh,14/04/2015,14/04/2022,April,Thursday,11
Reyna Dudson,27/04/2015,27/04/2022,April,Wednesday,12
Olivia Elsay,29/06/2014,29/06/2022,June,Wednesday,15
Rica Greensitt,21/08/2013,21/08/2022,August,Friday,24
Puff Wattam,29/06/2013,29/06/2022,June,Wednesday,15
Claudina Biasetti,20/02/2014,20/02/2022,February,Friday,31
Terrance Sibary,04/06/2015,04/06/2022,June,Friday,30
Celinka Skey,23/09/2014,23/09/2022,September,Friday,36
Dew Bartlett,23/11/2014,23/11/2022,November,Wednesday,17
Gaye Dallison,26/05/2015,26/05/2022,May,Thursday,12
Terry Lillow,10/08/2013,10/08/2022,August,Wednesday,10
Shel Vice,23/01/2015,23/01/2022,January,Friday,33
Drucy Greet,18/10/2011,18/10/2022,October,Tuesday,9
Ingelbert Sessuns,14/07/2013,14/07/2022,July,Thursday,12
Zak Lillee,26/08/2013,26/08/2022,August,Friday,24
Mirilla Davidow,21/11/2014,21/11/2022,November,Monday,11
Buiron Crauford,18/03/2012,18/03/2022,March,Friday,31
Gizela Oke,30/04/2015,30/04/2022,April,Friday,55
Candace Glowacz,03/01/2015,03/01/2022,January,Monday,14
Rockey Center,30/01/2014,30/01/2022,January,Friday,33
Lannie Bessey,06/02/2012,06/02/2022,February,Friday,31
Blanche Edling,02/11/2012,02/11/2022,November,Wednesday,17
Yevette Crimpe,15/04/2015,15/04/2022,April,Friday,55
Kimmy Brody,13/03/2012,13/03/2022,March,Friday,31
Burnaby Gosby,09/09/2013,09/09/2022,September,Friday,36
Bearnard Swainston,11/01/2013,11/01/2022,January,Tuesday,12
Chrissie Torrans,02/08/2014,02/08/2022,August,Tuesday,15
Marc Bailey,28/09/2014,28/09/2022,September,Wednesday,7
Merl Pudner,03/10/2014,03/10/2022,October,Monday,14
Ivar Noddings,05/05/2013,05/05/2022,May,Thursday,12
Maryjo Dewicke,09/02/2012,09/02/2022,February,Wednesday,8
Kippar Lambrecht,24/06/2012,24/06/2022,June,Friday,30
Donielle Selwyne,03/03/2015,03/03/2022,March,Thursday,19
Kerstin Escreet,28/10/2013,28/10/2022,October,Friday,32
Theresina Woolnough,19/09/2014,19/09/2022,September,Monday,7
Marie Antuk,11/08/2015,11/08/2022,August,Thursday,10
Dolorita Borrows,20/11/2011,20/11/2022,November,Friday,39
Cass Seivertsen,01/03/2015,01/03/2022,March,Tuesday,13
Trumaine Goncalo,09/01/2012,09/01/2022,January,Friday,33
Frank Mersh,04/09/2014,04/09/2022,September,Friday,36
Magdalene Treend,20/10/2011,20/10/2022,October,Thursday,14
Blanca Arnaez,27/04/2015,27/04/2022,April,Wednesday,12
Shirline Saben,07/02/2012,07/02/2022,February,Monday,12
Grace Fernie,20/06/2014,20/06/2022,June,Monday,9
Theda Ryam,15/06/2013,15/06/2022,June,Wednesday,15
Ginny Sebyer,22/12/2014,22/12/2022,December,Thursday,20
Jesse Worsall,24/04/2015,24/04/2022,April,Friday,55
Sammy Ferrarotti,23/07/2013,23/07/2022,July,Friday,49
Alta Ianittello,03/01/2013,03/01/2022,January,Monday,14
Joye Sleit,29/07/2013,29/07/2022,July,Friday,49
Hanny Cullity,01/07/2015,01/07/2022,July,Friday,49
Fair Brandi,14/06/2012,14/06/2022,June,Tuesday,11
Derry Crowest,02/08/2015,02/08/2022,August,Tuesday,15
Sasha Tukesby,19/05/2013,19/05/2022,May,Thursday,12
Jeffry De Blasio,09/06/2012,09/06/2022,June,Thursday,12
Mildrid Blurton,04/07/2013,04/07/2022,July,Monday,11
Benedetto Staker,11/09/2012,11/09/2022,September,Friday,36
Yalonda Cranch,08/04/2015,08/04/2022,April,Friday,55
Andeee Dorrity,25/07/2015,25/07/2022,July,Monday,11
Aron Cosslett,16/07/2013,16/07/2022,July,Friday,49
Agretha Ivanchikov,23/09/2011,23/09/2022,September,Friday,36
Desirae Tondeur,15/07/2014,15/07/2022,July,Friday,49
De witt Moorton,06/06/2014,06/06/2022,June,Monday,9
Etti Ehlerding,23/11/2012,23/11/2022,November,Wednesday,17
Stavros Rhead,20/11/2014,20/11/2022,November,Friday,39
Ansley Took,17/08/2015,17/08/2022,August,Wednesday,10
Langston Janjic,06/01/2014,06/01/2022,January,Thursday,6
Yasmin Jinkins,04/09/2011,04/09/2022,September,Friday,36
Corry Lassells,24/11/2011,24/11/2022,November,Thursday,13
Kareem Shieldon,11/04/2012,11/04/2022,April,Monday,10
Blair Troyes,19/12/2013,19/12/2022,December,Monday,20
Ivy Briscam,07/01/2014,07/01/2022,January,Friday,33
Billie Keyte,10/04/2013,10/04/2022,April,Friday,55
Rhodie Lissimore,09/01/2012,09/01/2022,January,Friday,33
Jeannie Clausen-Thue,17/12/2012,17/12/2022,December,Friday,45
Lonnard Stivey,02/05/2014,02/05/2022,May,Monday,7
Jany Batcock,13/09/2012,13/09/2022,September,Tuesday,12
Demetris Aslett,23/07/2013,23/07/2022,July,Friday,49
Tammy Elcombe,13/07/2013,13/07/2022,July,Wednesday,19
Eddy O'Gaven,26/08/2013,26/08/2022,August,Friday,24
Stacee Martine,06/09/2013,06/09/2022,September,Tuesday,12
Vivyanne Aughtie,23/06/2013,23/06/2022,June,Thursday,12
Flinn Tollfree,12/03/2013,12/03/2022,March,Friday,31
Indira Verna,24/06/2012,24/06/2022,June,Friday,30
Maximilianus Hannam,11/12/2012,11/12/2022,December,Friday,45
Galvan Pioch,04/12/2013,04/12/2022,December,Friday,45
Margi Sentance,26/04/2015,26/04/2022,April,Tuesday,4
Ches Thornebarrow,14/01/2014,14/01/2022,January,Friday,33
Evelin Myott,02/08/2015,02/08/2022,August,Tuesday,15
Emmalyn Piegrome,18/12/2014,18/12/2022,December,Friday,45
Lindy Wallman,27/11/2012,27/11/2022,November,Friday,39
Kori Feavers,07/12/2011,07/12/2022,December,Wednesday,9
Gussy Dowdell,08/07/2014,08/07/2022,July,Friday,49
Merci Tutsell,01/12/2014,01/12/2022,December,Thursday,20
Kameko Sherer,04/08/2012,04/08/2022,August,Thursday,10
Amye Barwis,05/06/2012,05/06/2022,June,Friday,30
Louisa McRamsey,23/08/2015,23/08/2022,August,Tuesday,15
Aveline Peggram,18/01/2015,18/01/2022,January,Tuesday,12
Valerie MacDonagh,04/07/2014,04/07/2022,July,Monday,11
Ileana Paolicchi,03/06/2012,03/06/2022,June,Friday,30
Warden McDonnell,23/12/2013,23/12/2022,December,Friday,45
Cristi Hargrove,16/08/2012,16/08/2022,August,Tuesday,15
Warde Fullwood,19/10/2011,19/10/2022,October,Wednesday,13
Tristan Parman,18/12/2012,18/12/2022,December,Friday,45
Patience Turfin,23/03/2012,23/03/2022,March,Wednesday,6
Melva Bradburn,01/07/2014,01/07/2022,July,Friday,49
Robinett Kingaby,27/02/2015,27/02/2022,February,Friday,31
Jennee Portch,01/04/2012,01/04/2022,April,Friday,55
Tomi Murrison,11/05/2015,11/05/2022,May,Wednesday,8
Freddi Phillps,10/11/2011,10/11/2022,November,Thursday,13
Hagan Rawne,04/10/2014,04/10/2022,October,Tuesday,9
Frieda Peart,02/03/2012,02/03/2022,March,Wednesday,6
Lucien Crean,08/12/2013,08/12/2022,December,Thursday,20
Gilemette Vezey,12/03/2013,12/03/2022,March,Friday,31
Janith Amburgy,17/04/2013,17/04/2022,April,Friday,55
Cross Oleksinski,14/01/2015,14/01/2022,January,Friday,33
Krystle Davage,27/07/2012,27/07/2022,July,Wednesday,19
Doria Oulet,28/07/2014,28/07/2022,July,Thursday,12
Normie Cleave,20/03/2015,20/03/2022,March,Friday,31
Waly Tomet,09/02/2014,09/02/2022,February,Wednesday,8
Wadsworth Gores,20/12/2011,20/12/2022,December,Tuesday,8
Kyrstin Liebermann,08/12/2011,08/12/2022,December,Thursday,20
Deni Baudin,03/11/2011,03/11/2022,November,Thursday,13
Ceciley Kubicki,28/07/2015,28/07/2022,July,Thursday,12
Jordanna Siley,22/04/2013,22/04/2022,April,Friday,55
Bobbette Whiteley,07/02/2013,07/02/2022,February,Monday,12
Peyton Addekin,11/05/2013,11/05/2022,May,Wednesday,8
Lief Barajaz,19/02/2012,19/02/2022,February,Friday,31
Esmaria Tawn,20/07/2013,20/07/2022,July,Wednesday,19
Suzanne Guiso,04/06/2013,04/06/2022,June,Friday,30
Korella Lavelle,12/05/2013,12/05/2022,May,Thursday,12
Harold Heminsley,16/10/2012,16/10/2022,October,Friday,32
Minnaminnie Vaneev,26/05/2014,26/05/2022,May,Thursday,12
Amitie Elvy,06/10/2013,06/10/2022,October,Thursday,14
Markus Madill,21/08/2014,21/08/2022,August,Friday,24
Carmon Phear,09/01/2013,09/01/2022,January,Friday,33
Freddie Eldered,25/06/2015,25/06/2022,June,Friday,30
Vallie Payton,08/10/2012,08/10/2022,October,Friday,32
Rafaello Shelp,25/12/2014,25/12/2022,December,Friday,45
Elana Dupree,09/04/2012,09/04/2022,April,Friday,55
Davita Reder,21/07/2013,21/07/2022,July,Thursday,12
Zedekiah Anstie,08/09/2011,08/09/2022,September,Thursday,14
Cassie Margaritelli,20/09/2011,20/09/2022,September,Tuesday,12
Sinclair Blacklock,05/05/2015,05/05/2022,May,Thursday,12
Farrell Nise,08/01/2013,08/01/2022,January,Friday,33
Georgena Richings,22/05/2015,22/05/2022,May,Friday,31
Kahlil Buie,28/09/2012,28/09/2022,September,Wednesday,7
Drusi Beckenham,14/04/2012,14/04/2022,April,Thursday,11
Bogey Andresen,23/01/2012,23/01/2022,January,Friday,33
Jobi Dreossi,15/04/2015,15/04/2022,April,Friday,55
Isacco Holston,28/06/2012,28/06/2022,June,Tuesday,11
Andris Somerbell,27/03/2015,27/03/2022,March,Friday,31
Casey Kelshaw,24/02/2015,24/02/2022,February,Thursday,12
Dru Lorryman,15/08/2012,15/08/2022,August,Monday,12
Gothart Duigan,19/02/2014,19/02/2022,February,Friday,31
Jarred Aggas,14/01/2014,14/01/2022,January,Friday,33
Emili Matyja,05/01/2013,05/01/2022,January,Wednesday,14
Sherilyn Jilkes,22/03/2012,22/03/2022,March,Tuesday,13
Jacklin Scoyne,29/01/2015,29/01/2022,January,Friday,33
Kip Bannell,18/10/2012,18/10/2022,October,Tuesday,9
Miles Pavitt,27/07/2015,27/07/2022,July,Wednesday,19
Hedvig Abbot,20/03/2014,20/03/2022,March,Friday,31
Melisa Fibbens,31/03/2015,31/03/2022,March,Thursday,19
Jecho Ebbrell,02/11/2014,02/11/2022,November,Wednesday,17
Barris Traves,18/11/2013,18/11/2022,November,Friday,39
Norrie Kencott,25/07/2012,25/07/2022,July,Monday,11
Randell Gummow,01/08/2013,01/08/2022,August,Monday,12
Robby Scrivener,19/11/2014,19/11/2022,November,Friday,39
Gonzales Blanchard,04/06/2013,04/06/2022,June,Friday,30
Marcela Gath,05/11/2011,05/11/2022,November,Friday,39
Meryl Laytham,22/11/2012,22/11/2022,November,Tuesday,12
Jacinda Gelderd,12/05/2015,12/05/2022,May,Thursday,12
Ilyssa Fortie,21/05/2015,21/05/2022,May,Friday,31
Pascale Casini,14/05/2013,14/05/2022,May,Friday,31
Katlin Maulden,19/02/2013,19/02/2022,February,Friday,31
Perkin Caughey,16/10/2012,16/10/2022,October,Friday,32
Leopold Banton,21/07/2012,21/07/2022,July,Thursday,12
Brittaney Cumberpatch,24/08/2013,24/08/2022,August,Wednesday,10
Glynda Lidierth,23/01/2015,23/01/2022,January,Friday,33
Lukas Gallon,12/12/2011,12/12/2022,December,Monday,20
Massimo Bedminster,13/04/2014,13/04/2022,April,Wednesday,12
Franciska Betonia,11/07/2012,11/07/2022,July,Monday,11
Kathrine Ducastel,10/05/2012,10/05/2022,May,Tuesday,15
Jaymee Mannakee,02/10/2012,02/10/2022,October,Friday,32
Cam Riccardini,01/02/2015,01/02/2022,February,Tuesday,13
Jamima Cossor,05/11/2013,05/11/2022,November,Friday,39
Red Braybrook,12/05/2012,12/05/2022,May,Thursday,12
Agnese Wahlberg,18/07/2013,18/07/2022,July,Monday,11
Erasmus Simmers,29/12/2014,29/12/2022,December,Thursday,20
Amye Berni,03/10/2014,03/10/2022,October,Monday,14
Korney Perring,23/09/2013,23/09/2022,September,Friday,36
Tiphany Yepiskov,27/06/2015,27/06/2022,June,Monday,9
Jeannette Kocher,07/07/2013,07/07/2022,July,Thursday,12
Brig Tremontana,01/03/2014,01/03/2022,March,Tuesday,13
Hiram Birkenshaw,03/07/2013,03/07/2022,July,Friday,49
Louis Gabbatiss,22/02/2012,22/02/2022,February,Tuesday,13
Christoforo Gillon,14/02/2012,14/02/2022,February,Monday,12
Tatum Daughton,08/04/2015,08/04/2022,April,Friday,55
Amberly Wones,22/07/2013,22/07/2022,July,Friday,49
Suzanna Richardeau,07/05/2013,07/05/2022,May,Friday,31
Jamima Heed,10/09/2011,10/09/2022,September,Friday,36
Sandy Helks,02/04/2013,02/04/2022,April,Friday,55
Gabbi Dowdell,22/06/2013,22/06/2022,June,Wednesday,15
Faustine Trimmell,22/12/2013,22/12/2022,December,Thursday,20
Keelia McBoyle,21/03/2015,21/03/2022,March,Monday,8
Wanids Jaffrey,12/07/2013,12/07/2022,July,Tuesday,12
Flint Donlon,10/03/2015,10/03/2022,March,Thursday,19
Emile Sprules,18/02/2014,18/02/2022,February,Friday,31
Ferne Poure,21/05/2015,21/05/2022,May,Friday,31
Antoine Haycox,14/09/2014,14/09/2022,September,Wednesday,7
Henka Tartt,31/05/2014,31/05/2022,May,Tuesday,15
Glennis Eastlake,25/10/2012,25/10/2022,October,Tuesday,9
Norris Denness,13/07/2014,13/07/2022,July,Wednesday,19
Michele Keford,15/03/2015,15/03/2022,March,Tuesday,13
Chere Vinson,04/03/2013,04/03/2022,March,Friday,31
Natalie Swynfen,06/10/2013,06/10/2022,October,Thursday,14
Zane Slaght,15/12/2011,15/12/2022,December,Thursday,20
Penni Nobriga,27/05/2014,27/05/2022,May,Friday,31
Deb Martina,22/03/2013,22/03/2022,March,Tuesday,13
Alix McGonnell,20/10/2012,20/10/2022,October,Thursday,14
Poppy Denniston,12/11/2012,12/11/2022,November,Friday,39
Dino Behr,20/12/2012,20/12/2022,December,Tuesday,8
Nikolai Paynton,06/04/2015,06/04/2022,April,Wednesday,12
Kalindi Abella,05/12/2011,05/12/2022,December,Monday,20
Lina Jedrzejczyk,13/09/2014,13/09/2022,September,Tuesday,12
Darrick Shellard,27/03/2013,27/03/2022,March,Friday,31
Eunice Brazur,16/01/2012,16/01/2022,January,Friday,33
Livvyy Vasquez,15/09/2011,15/09/2022,September,Thursday,14
Hyacintha Figgen,02/06/2012,02/06/2022,June,Thursday,12
Reggis Daniello,16/10/2014,16/10/2022,October,Friday,32
Braden Berrane,30/04/2015,30/04/2022,April,Friday,55
Gil Wyrall,13/12/2011,13/12/2022,December,Tuesday,8
Emylee Yurygyn,24/04/2014,24/04/2022,April,Friday,55
Rori Colvill,08/04/2014,08/04/2022,April,Friday,55
Margot Ibbitson,24/02/2015,24/02/2022,February,Thursday,12
Brenden Greengrass,20/11/2012,20/11/2022,November,Friday,39
Pepi Marte,30/12/2013,30/12/2022,December,Friday,45
Lindi Veare,27/08/2014,27/08/2022,August,Friday,24
Randi Slucock,16/08/2015,16/08/2022,August,Tuesday,15
Tate Guitton,09/07/2014,09/07/2022,July,Friday,49
Farris Queree,11/11/2013,11/11/2022,November,Friday,39
Janina Goulstone,20/06/2012,20/06/2022,June,Monday,9
Samara McCuaig,06/09/2012,06/09/2022,September,Tuesday,12
Austin Sangwin,07/07/2014,07/07/2022,July,Thursday,12
Jasmina Langforth,03/04/2012,03/04/2022,April,Friday,55
Marve Geaney,15/04/2014,15/04/2022,April,Friday,55
Alyda Drinkel,22/08/2012,22/08/2022,August,Monday,12
Karry McLean,05/10/2011,05/10/2022,October,Wednesday,13
Jorgan Beggan,28/02/2015,28/02/2022,February,Monday,12
Ned Mathouse,12/11/2013,12/11/2022,November,Friday,39
Harrietta Chumley,20/01/2012,20/01/2022,January,Thursday,6
Florida Forestall,02/11/2012,02/11/2022,November,Wednesday,17
Dodie Potteril,05/10/2011,05/10/2022,October,Wednesday,13
Lacey Addeycott,28/08/2013,28/08/2022,August,Friday,24
Yoshiko Cona,23/12/2011,23/12/2022,December,Friday,45
Maggi Readwood,07/02/2014,07/02/2022,February,Monday,12
Davon Regglar,27/12/2012,27/12/2022,December,Tuesday,8
Laird Dainty,27/06/2015,27/06/2022,June,Monday,9
Melvin Halfhyde,12/05/2012,12/05/2022,May,Thursday,12
Emlen Dumingo,19/11/2014,19/11/2022,November,Friday,39
Aliza Tarbett,06/04/2014,06/04/2022,April,Wednesday,12
Rosalynd Henrion,26/01/2013,26/01/2022,January,Wednesday,14
Agata Martyn,23/11/2013,23/11/2022,November,Wednesday,17
Basia Oswal,06/07/2015,06/07/2022,July,Wednesday,19
Trumaine Beggs,31/08/2012,31/08/2022,August,Wednesday,10
Loreen MacCauley,07/06/2015,07/06/2022,June,Tuesday,11
Lynea Zorzi,24/01/2013,24/01/2022,January,Monday,14
Hans Bolstridge,29/11/2012,29/11/2022,November,Tuesday,12
Irvine Roycroft,11/08/2013,11/08/2022,August,Thursday,10
Thorstein Valente,11/03/2014,11/03/2022,March,Friday,31
Rosemonde Grovier,07/04/2015,07/04/2022,April,Thursday,11
Pepe Elsey,04/12/2014,04/12/2022,December,Friday,45
Nick Jurzyk,26/12/2014,26/12/2022,December,Monday,20
Katharina Joscelyne,17/04/2014,17/04/2022,April,Friday,55
Skip Geipel,25/09/2014,25/09/2022,September,Friday,36
Parrnell Penrith,04/09/2011,04/09/2022,September,Friday,36
Reggis Ferandez,18/03/2014,18/03/2022,March,Friday,31
Valentine Bischof,28/06/2014,28/06/2022,June,Tuesday,11
Adah Townson,02/05/2013,02/05/2022,May,Monday,7
Andy Yosifov,15/06/2015,15/06/2022,June,Wednesday,15
Tracey Milham,02/01/2015,02/01/2022,January,Friday,33
Tammie Meynell,10/04/2014,10/04/2022,April,Friday,55
Haywood Tithecote,28/10/2013,28/10/2022,October,Friday,32
Caye Gove,13/08/2013,13/08/2022,August,Friday,24
Armstrong Nutman,05/01/2012,05/01/2022,January,Wednesday,14
Mariska Bront,20/09/2013,20/09/2022,September,Tuesday,12
Shina Ivanin,05/07/2013,05/07/2022,July,Tuesday,12
Vance Bissiker,26/06/2013,26/06/2022,June,Friday,30
Ebenezer Tussaine,28/02/2015,28/02/2022,February,Monday,12
Findley Enriques,17/01/2014,17/01/2022,January,Monday,14
Rosamond Belshaw,06/02/2014,06/02/2022,February,Friday,31
Barclay Fieldgate,30/04/2012,30/04/2022,April,Friday,55
Tammie O' Connell,29/12/2011,29/12/2022,December,Thursday,20
Jami Plunket,16/07/2014,16/07/2022,July,Friday,49
Stacee Spinetti,20/04/2015,20/04/2022,April,Wednesday,12
Correna Segrave,09/07/2013,09/07/2022,July,Friday,49
Gil Hele,03/05/2012,03/05/2022,May,Tuesday,15
Isaiah Doig,01/11/2013,01/11/2022,November,Tuesday,12
Davidson Quodling,19/06/2014,19/06/2022,June,Friday,30
Saul Swaby,28/07/2014,28/07/2022,July,Thursday,12
Melanie Glassard,22/08/2013,22/08/2022,August,Monday,12
Sharity Galland,16/01/2012,16/01/2022,January,Friday,33
Antoine Lillgard,10/05/2014,10/05/2022,May,Tuesday,15
Dorotea Wadesworth,12/09/2011,12/09/2022,September,Monday,7
Kimberlee Ciani,24/10/2014,24/10/2022,October,Monday,14
Pauline Dorsey,03/03/2015,03/03/2022,March,Thursday,19
Bettina Forward,07/07/2015,07/07/2022,July,Thursday,12
Mike Ginnelly,30/10/2011,30/10/2022,October,Friday,32
Conroy Hatcliffe,18/06/2012,18/06/2022,June,Friday,30
Cecil Gavaghan,12/01/2013,12/01/2022,January,Wednesday,14
Filippa Pattingson,04/11/2014,04/11/2022,November,Friday,39
Janene Harford,27/02/2012,27/02/2022,February,Friday,31
Carri Livings,27/07/2012,27/07/2022,July,Wednesday,19
Mitzi Kleinhandler,19/10/2013,19/10/2022,October,Wednesday,13
Shaine Matas,16/10/2012,16/10/2022,October,Friday,32
Fraze Tutin,02/09/2013,02/09/2022,September,Friday,36
Nola Mallett,10/06/2015,10/06/2022,June,Friday,30
Hardy Burford,05/04/2014,05/04/2022,April,Tuesday,4
Sarine Pedlingham,16/09/2013,16/09/2022,September,Friday,36
Bary Amyes,20/07/2013,20/07/2022,July,Wednesday,19
Berthe Sheerman,29/09/2013,29/09/2022,September,Thursday,14
Charisse Divina,21/10/2014,21/10/2022,October,Friday,32
Calla Emms,22/07/2013,22/07/2022,July,Friday,49
West Breheny,25/04/2015,25/04/2022,April,Monday,10
Patsy Piner,29/09/2013,29/09/2022,September,Thursday,14
Fairleigh Janusz,28/02/2012,28/02/2022,February,Monday,12
Rodrick Lepere,19/09/2012,19/09/2022,September,Monday,7
Kissie Burkert,28/07/2015,28/07/2022,July,Thursday,12
Alanson Joost,10/07/2015,10/07/2022,July,Friday,49
Shelly Deares,17/07/2014,17/07/2022,July,Friday,49
Angy Moseby,27/02/2012,27/02/2022,February,Friday,31
Corabel Triggol,05/02/2015,05/02/2022,February,Friday,31
Jose Kennan,23/09/2011,23/09/2022,September,Friday,36
Ferd Dey,05/04/2015,05/04/2022,April,Tuesday,4
Katlin Bumphrey,28/02/2012,28/02/2022,February,Monday,12
Dana Gauld,15/07/2014,15/07/2022,July,Friday,49
Alys McReidy,21/10/2011,21/10/2022,October,Friday,32
Maure Kenwell,20/10/2012,20/10/2022,October,Thursday,14
Virgie Roark,12/08/2015,12/08/2022,August,Friday,24
Jacklin Biggerstaff,30/05/2015,30/05/2022,May,Monday,7
Wade Fautly,28/09/2014,28/09/2022,September,Wednesday,7
Loydie Capewell,06/04/2014,06/04/2022,April,Wednesday,12
Emmalynn Sankey,11/06/2014,11/06/2022,June,Friday,30
Shannon Gerring,30/08/2013,30/08/2022,August,Tuesday,15
Denna Cornewall,17/10/2011,17/10/2022,October,Monday,14
Meyer Barca,13/07/2014,13/07/2022,July,Wednesday,19
Goldia Macklin,17/01/2013,17/01/2022,January,Monday,14
Curry Dawbery,25/04/2013,25/04/2022,April,Monday,10
Heidi Elderkin,16/11/2012,16/11/2022,November,Wednesday,17
Peggie Derrett,29/06/2012,29/06/2022,June,Wednesday,15
Ingunna Hauck,26/01/2015,26/01/2022,January,Wednesday,14
Emmott Gosson,01/02/2012,01/02/2022,February,Tuesday,13
Guinna O'Currine,07/02/2015,07/02/2022,February,Monday,12
Haleigh Causier,31/05/2012,31/05/2022,May,Tuesday,15
Karel Hovenden,06/10/2014,06/10/2022,October,Thursday,14
Ragnar Heathcott,03/02/2015,03/02/2022,February,Thursday,12
Axe Gleder,03/05/2014,03/05/2022,May,Tuesday,15
Poul Frane,11/04/2012,11/04/2022,April,Monday,10
Jerry Pelerin,17/11/2011,17/11/2022,November,Thursday,13
Gayler Littledike,08/12/2013,08/12/2022,December,Thursday,20
Bartlett Chilvers,22/08/2015,22/08/2022,August,Monday,12
Harwell Munnings,25/12/2013,25/12/2022,December,Friday,45
Russell Constantine,14/11/2012,14/11/2022,November,Monday,11
Zulema Ludlom,25/01/2015,25/01/2022,January,Tuesday,12
Dewain Wogdon,10/10/2014,10/10/2022,October,Monday,14
