Opportunity Name,StageName,Amount,Created By Name,Owner Name,Account Name,Account Type,Account Owner Name,Account Created By Name,Opportunity ID,AccountId,OwnerId,CreatedById
Opportunity for Ingram699,Closed Lost,2669875,Jenny Martin,Evelyn Williamson,Weaver350 Inc,Partner,Julie Chavez,Jenny Martin,0068d000009XKfgAAG,0018d00000Gp057AAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Ross718,Closed Won,776540,Jenny Martin,Kelly Frazier,Lowe352 Inc,Customer,John Williams,Jenny Martin,0068d000009XKgKAAW,0018d00000Gp059AAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Reyes426,Qualification,830400,Jenny Martin,Evelyn Williamson,Jensen353 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKidAAG,0018d00000Gp05AAAR,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for McLaughlin1979,Closed Won,98850,Jenny Martin,Bruce Kennedy,Abbott358 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKlAAAW,0018d00000Gp05FAAR,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Ford255,Closed Won,377690,Jenny Martin,Johnny Green,Roy360 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKfOAAW,0018d00000Gp05HAAR,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Pittman263,Closed Won,1879190,Jenny Martin,Laura Palmer,Joseph361 Inc,Partner,Eric Sanchez,Jenny Martin,0068d000009XKcuAAG,0018d00000Gp05IAAR,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Moore1870,Closed Won,165920,Jenny Martin,Chris Riley,Ross559 Inc,Partner,Harold Campbell,Jenny Martin,0068d000009XKh3AAG,0018d00000Gp05KAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Gomez345,Closed Lost,3145700,Jenny Martin,Catherine Brown,Russell560 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKfWAAW,0018d00000Gp05LAAR,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Hayes1197,Perception Analysis,1593200,Jenny Martin,John Williams,Watkins561 Inc,Partner,Laura Garza,Jenny Martin,0068d000009XKjoAAG,0018d00000Gp05MAAR,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Salazar953,Perception Analysis,100267,Jenny Martin,Evelyn Williamson,Watkins561 Inc,Partner,Laura Garza,Jenny Martin,0068d000009XKo3AAG,0018d00000Gp05MAAR,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Robbins1443,Closed Lost,968870,Jenny Martin,Eric Gutierrez,Todd566 Inc,Partner,Eric Gutierrez,Jenny Martin,0068d000009XKrOAAW,0018d00000Gp05RAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Logan1198,Closed Lost,40480,Jenny Martin,Eric Gutierrez,Todd566 Inc,Partner,Eric Gutierrez,Jenny Martin,0068d000009XKjpAAG,0018d00000Gp05RAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Cobb1406,Qualification,802000,Jenny Martin,Dennis Howard,Horton569 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKqcAAG,0018d00000Gp05UAAR,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Singleton1321,Closed Lost,1202450,Jenny Martin,Laura Palmer,Mitchell570 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKnbAAG,0018d00000Gp05VAAR,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Carroll233,Closed Won,1578500,Jenny Martin,Irene McCoy,Freeman751 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKfEAAW,0018d00000Gp05mAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Holmes265,Prospecting,206640,Jenny Martin,John Williams,Fox572 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKcvAAG,0018d00000Gp05XAAR,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Hart1416,Closed Won,3960970,Jenny Martin,Bruce Kennedy,Cain574 Inc,Partner,Evelyn Williamson,Jenny Martin,0068d000009XKqiAAG,0018d00000Gp05ZAAR,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Walton1466,Closed Lost,558860,Jenny Martin,Dennis Howard,Vargas578 Inc,Partner,Chris Riley,Jenny Martin,0068d000009XKg0AAG,0018d00000Gp05dAAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Massey1797,Closed Won,1683185,Jenny Martin,Harold Campbell,Griffith580 Inc,Partner,Doroth Gardner,Jenny Martin,0068d000009XKqrAAG,0018d00000Gp05fAAB,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Clayton750,Closed Won,411166,Jenny Martin,Irene McCoy,Griffith580 Inc,Partner,Doroth Gardner,Jenny Martin,0068d000009XKhHAAW,0018d00000Gp05fAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Flowers1427,Needs Analysis,1979000,Jenny Martin,Nicolas Weaver,Greer746 Inc,Partner,Irene McCoy,Jenny Martin,0068d000009XKrHAAW,0018d00000Gp05hAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Wilkerson513,Closed Won,138690,Jenny Martin,John Williams,Rivera752 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKlqAAG,0018d00000Gp05nAAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Lewis1718,Closed Won,1415700,Jenny Martin,Irene McCoy,Morton128 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKoTAAW,0018d00000GozqVAAR,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Freeman746,Closed Won,1411200,Jenny Martin,Evelyn Williamson,Cobb132 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKhFAAW,0018d00000GozqZAAR,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Klein1486,Prospecting,431073,Jenny Martin,Kelly Frazier,Nichols134 Inc,Customer,Laura Palmer,Jenny Martin,0068d000009XKgrAAG,0018d00000GozqbAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Duncan1725,Prospecting,847450,Jenny Martin,Eric Sanchez,Thompson136 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKoVAAW,0018d00000GozqdAAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Reynolds1553,Value Proposition,3464115,Jenny Martin,Doroth Gardner,Ramirez137 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKjBAAW,0018d00000GozqeAAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Lynch113,Closed Won,1817900,Jenny Martin,Nicolas Weaver,Ramirez137 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKfCAAW,0018d00000GozqeAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Pope310,Needs Analysis,3207480,Jenny Martin,John Williams,Ramirez137 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKezAAG,0018d00000GozqeAAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Nguyen1971,Proposal/Price Quote,2049800,Jenny Martin,Irene Kelley,Pope139 Inc,Partner,John Williams,Jenny Martin,0068d000009XKkJAAW,0018d00000GozqgAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Yates1567,Closed Lost,7425,Jenny Martin,Eric Sanchez,Lopez140 Inc,Customer,Kelly Frazier,Jenny Martin,0068d000009XKjyAAG,0018d00000GozqhAAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Hall1897,Perception Analysis,2925000,Jenny Martin,Nicolas Weaver,Lopez140 Inc,Customer,Kelly Frazier,Jenny Martin,0068d000009XKhnAAG,0018d00000GozqhAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Collier276,Qualification,582035,Jenny Martin,Nicolas Weaver,Daniels141 Inc,Customer,John Williams,Jenny Martin,0068d000009XKd0AAG,0018d00000GozqiAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Miles1826,Closed Won,5335150,Jenny Martin,Harold Campbell,Underwood142 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKrbAAG,0018d00000GozqjAAB,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Luna711,Value Proposition,281700,Jenny Martin,Dennis Howard,Underwood142 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKgFAAW,0018d00000GozqjAAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Santiago1026,Closed Won,2288250,Jenny Martin,Harold Campbell,Underwood142 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKqQAAW,0018d00000GozqjAAB,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Porter1185,Closed Won,3960350,Jenny Martin,Dennis Howard,McKenzie143 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKj2AAG,0018d00000GozqkAAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Luna668,Closed Won,3251640,Jenny Martin,Irene Kelley,Quinn144 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKr0AAG,0018d00000GozqlAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Frazier644,Qualification,1528750,Jenny Martin,Harold Campbell,Crawford184 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKqEAAW,0018d00000GozraAAB,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Ingram622,Closed Won,4841250,Jenny Martin,Laura Garza,Crawford184 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKpLAAW,0018d00000GozraAAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Owens189,Closed Lost,1755885,Jenny Martin,Catherine Brown,Crawford184 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKe5AAG,0018d00000GozraAAB,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Morrison1784,Closed Won,343000,Jenny Martin,Laura Palmer,Reed186 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKqmAAG,0018d00000GozrcAAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Reynolds330,Closed Lost,276000,Jenny Martin,Doroth Gardner,Reed186 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKfRAAW,0018d00000GozrcAAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Leonard584,Qualification,318600,Jenny Martin,Kelly Frazier,Duncan187 Inc,Partner,Laura Palmer,Jenny Martin,0068d000009XKoWAAW,0018d00000GozrdAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for McKenzie881,Closed Won,1684050,Jenny Martin,Irene Kelley,Christensen164 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKm3AAG,0018d00000GozreAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Cunningham1976,Closed Won,503975,Jenny Martin,Evelyn Williamson,Webb165 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKl7AAG,0018d00000GozrfAAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Harrington447,Closed Won,287850,Jenny Martin,Nicolas Weaver,Webb165 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKjSAAW,0018d00000GozrfAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Weber1078,Value Proposition,36960,Jenny Martin,Doroth Gardner,Webb165 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKfmAAG,0018d00000GozrfAAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Elliott511,Needs Analysis,679555,Jenny Martin,Catherine Brown,Figueroa166 Inc,Customer,Catherine Brown,Jenny Martin,0068d000009XKlpAAG,0018d00000GozrgAAB,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Nichols1204,Closed Won,2169600,Jenny Martin,John Williams,Stone167 Inc,Partner,Johnny Green,Jenny Martin,0068d000009XKjsAAG,0018d00000GozrhAAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Hill1534,Closed Won,3298750,Jenny Martin,Julie Chavez,Coleman170 Inc,Customer,John Williams,Jenny Martin,0068d000009XKiLAAW,0018d00000GozrkAAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Baker1261,Closed Lost,41580,Jenny Martin,Dennis Howard,Coleman170 Inc,Customer,John Williams,Jenny Martin,0068d000009XKm9AAG,0018d00000GozrkAAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Padilla1183,Closed Won,66246,Jenny Martin,Doroth Gardner,Olson171 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKj0AAG,0018d00000GozrlAAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Dawson434,Closed Won,2111880,Jenny Martin,Harold Campbell,Carter172 Inc,Partner,Johnny Green,Jenny Martin,0068d000009XKihAAG,0018d00000GozrmAAB,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Barker1887,Closed Lost,1740500,Jenny Martin,Julie Chavez,Carter172 Inc,Partner,Johnny Green,Jenny Martin,0068d000009XKhkAAG,0018d00000GozrmAAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Lloyd988,Proposal/Price Quote,2243150,Jenny Martin,Eric Sanchez,Wise175 Inc,Partner,Dennis Howard,Jenny Martin,0068d000009XKooAAG,0018d00000GozrpAAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Gibbs1339,Closed Won,2983800,Jenny Martin,Irene McCoy,Flores188 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKoJAAW,0018d00000GozrrAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Cunningham175,Closed Won,4357300,Jenny Martin,Kelly Frazier,Flores188 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKdfAAG,0018d00000GozrrAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Colon1047,Value Proposition,680,Jenny Martin,Chris Riley,Ross388 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKr7AAG,0018d00000GozrtAAB,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Nguyen1657,Closed Won,236610,Jenny Martin,Nicolas Weaver,Fleming389 Inc,Customer,John Williams,Jenny Martin,0068d000009XKn5AAG,0018d00000GozruAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Bush283,Proposal/Price Quote,4067300,Jenny Martin,Chris Riley,Allen182 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKdgAAG,0018d00000GozrYAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Porter991,Perception Analysis,2158750,Jenny Martin,Eric Sanchez,Fitzgerald503 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKopAAG,0018d00000GozzmAAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Clark1572,Closed Lost,480891,Jenny Martin,Irene McCoy,Stone504 Inc,Partner,Harold Campbell,Jenny Martin,0068d000009XKk1AAG,0018d00000GozznAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for French1719,Closed Won,1840000,Jenny Martin,Irene Kelley,Hudson506 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKoUAAW,0018d00000GozzpAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Cunningham662,Proposal/Price Quote,25450,Jenny Martin,Johnny Green,Wright507 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKqxAAG,0018d00000GozzqAAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Allison281,Qualification,1573350,Jenny Martin,Eric Gutierrez,Wright507 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKd3AAG,0018d00000GozzqAAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Holland322,Closed Lost,384840,Jenny Martin,Bruce Kennedy,Rose673 Inc,Partner,Dennis Howard,Jenny Martin,0068d000009XKf4AAG,0018d00000GozzrAAB,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Sullivan800,Negotiation/Review,577250,Jenny Martin,Nicolas Weaver,Evans674 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKirAAG,0018d00000GozzsAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Wilkerson900,Prospecting,3537660,Jenny Martin,Irene McCoy,Gray676 Inc,Customer,John Williams,Jenny Martin,0068d000009XKmeAAG,0018d00000GozzuAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Murphy234,Closed Won,2734080,Jenny Martin,Irene McCoy,Gray676 Inc,Customer,John Williams,Jenny Martin,0068d000009XKfFAAW,0018d00000GozzuAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Bass1237,Qualification,2855840,Jenny Martin,Irene Kelley,Curtis678 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKkvAAG,0018d00000GozzwAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Holt1880,Closed Lost,950440,Jenny Martin,Catherine Brown,Ortega682 Inc,Partner,Doroth Gardner,Jenny Martin,0068d000009XKhiAAG,0018d00000Gp000AAB,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Dunn946,Closed Won,2389600,Jenny Martin,Doroth Gardner,Ortega682 Inc,Partner,Doroth Gardner,Jenny Martin,0068d000009XKnzAAG,0018d00000Gp000AAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Taylor1674,Closed Won,1542350,Jenny Martin,Eric Sanchez,Hanson683 Inc,Customer,Catherine Brown,Jenny Martin,0068d000009XKnBAAW,0018d00000Gp001AAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Rogers1242,Closed Won,3907275,Jenny Martin,John Williams,Watts685 Inc,Customer,Laura Palmer,Jenny Martin,0068d000009XKlXAAW,0018d00000Gp003AAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Butler33,Perception Analysis,8577295,Jenny Martin,Doroth Gardner,Watts685 Inc,Customer,Laura Palmer,Jenny Martin,0068d000009XKdPAAW,0018d00000Gp003AAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Allison1432,Closed Lost,1471800,Jenny Martin,Evelyn Williamson,Strickland686 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKrKAAW,0018d00000Gp004AAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Hardy1507,Perception Analysis,594760,Jenny Martin,Irene Kelley,Benson689 Inc,Customer,John Williams,Jenny Martin,0068d000009XKhcAAG,0018d00000Gp007AAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Murphy267,Closed Won,2664105,Jenny Martin,John Williams,Todd690 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKcwAAG,0018d00000Gp008AAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Goodwin400,Closed Won,175770,Jenny Martin,Doroth Gardner,Todd690 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKdzAAG,0018d00000Gp008AAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Burgess1551,Closed Won,68600,Jenny Martin,Laura Palmer,Stephens391 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKjAAAW,0018d00000GozrwAAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Barnett1692,Needs Analysis,4708010,Jenny Martin,Nicolas Weaver,Stephens391 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKnlAAG,0018d00000GozrwAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Fletcher332,Value Proposition,313425,Jenny Martin,Laura Palmer,Pratt392 Inc,Partner,Johnny Green,Jenny Martin,0068d000009XKfSAAW,0018d00000GozrxAAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Bell1517,Closed Won,448068,Jenny Martin,Laura Palmer,Rivera395 Inc,Customer,Laura Palmer,Jenny Martin,0068d000009XKhgAAG,0018d00000Gozs0AAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Shaw1337,Closed Lost,620200,Jenny Martin,Laura Garza,Warren397 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKoHAAW,0018d00000Gozs2AAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Parsons1107,Closed Won,206000,Jenny Martin,Julie Chavez,Pittman399 Inc,Customer,John Williams,Jenny Martin,0068d000009XKgbAAG,0018d00000Gozs4AAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Young1496,Closed Won,219000,Jenny Martin,Laura Palmer,Owens400 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKhWAAW,0018d00000Gozs5AAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Daniel1888,Value Proposition,1384600,Jenny Martin,John Williams,Tucker401 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKhlAAG,0018d00000Gozs6AAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Collier517,Qualification,211050,Jenny Martin,Nicolas Weaver,Tucker401 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKlsAAG,0018d00000Gozs6AAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Barker1602,Needs Analysis,951000,Jenny Martin,Bruce Kennedy,Briggs402 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKl6AAG,0018d00000Gozs7AAB,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Rice1187,Proposal/Price Quote,261400,Jenny Martin,Chris Riley,Henry405 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKj3AAG,0018d00000GozsAAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Goodman815,Closed Won,323550,Jenny Martin,Irene Kelley,Gordon406 Inc,Customer,Laura Palmer,Jenny Martin,0068d000009XKjhAAG,0018d00000GozsBAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Cross1834,Qualification,1756800,Jenny Martin,Kelly Frazier,Gordon406 Inc,Customer,Laura Palmer,Jenny Martin,0068d000009XKg4AAG,0018d00000GozsBAAR,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Burns308,Needs Analysis,1188240,Jenny Martin,Irene Kelley,Gordon406 Inc,Customer,Laura Palmer,Jenny Martin,0068d000009XKexAAG,0018d00000GozsBAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Waters780,Closed Won,902400,Jenny Martin,Nicolas Weaver,Myers408 Inc,Partner,Kelly Frazier,Jenny Martin,0068d000009XKi1AAG,0018d00000GozsDAAR,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Patterson1324,Closed Lost,1292300,Jenny Martin,Laura Garza,Gonzales409 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKndAAG,0018d00000GozsEAAR,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for West620,Closed Won,2151600,Jenny Martin,Eric Gutierrez,Gonzales409 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKpKAAW,0018d00000GozsEAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Harmon1481,Closed Won,1738370,Jenny Martin,Nicolas Weaver,Myers581 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKgoAAG,0018d00000GozsFAAR,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Jacobs1464,Prospecting,5198280,Jenny Martin,Laura Palmer,Myers581 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKfzAAG,0018d00000GozsFAAR,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Tucker1268,Closed Won,371689,Jenny Martin,Catherine Brown,Myers581 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKmBAAW,0018d00000GozsFAAR,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Barnett252,Closed Won,431194,Jenny Martin,Nicolas Weaver,Myers581 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKfNAAW,0018d00000GozsFAAR,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Medina1844,Value Proposition,3570200,Jenny Martin,Julie Chavez,Robertson5 Inc,Partner,Dennis Howard,Jenny Martin,0068d000009XKg9AAG,0018d00000GozuAAAR,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Gordon852,Qualification,762410,Jenny Martin,Harold Campbell,Robertson5 Inc,Partner,Dennis Howard,Jenny Martin,0068d000009XKlQAAW,0018d00000GozuAAAR,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Bryan454,Closed Lost,380500,Jenny Martin,Eric Sanchez,Holmes7 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKjWAAW,0018d00000GozuCAAR,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Frank1303,Closed Won,1886550,Jenny Martin,Eric Gutierrez,Holmes7 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKn1AAG,0018d00000GozuCAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for McKenzie412,Closed Lost,3626550,Jenny Martin,Laura Garza,Roberson8 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKeIAAW,0018d00000GozuDAAR,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Kim733,Closed Won,238018,Jenny Martin,Laura Garza,Graham11 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKh8AAG,0018d00000GozuGAAR,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Paul1460,Closed Lost,2714200,Jenny Martin,Irene Kelley,Harris13 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKfxAAG,0018d00000GozuIAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Edwards146,Perception Analysis,4212140,Jenny Martin,Johnny Green,Harris13 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKcnAAG,0018d00000GozuIAAR,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Figueroa377,Perception Analysis,5839810,Jenny Martin,Bruce Kennedy,Harris13 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKdpAAG,0018d00000GozuIAAR,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Hicks1818,Closed Won,1417400,Jenny Martin,John Williams,Crawford14 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKrZAAW,0018d00000GozuJAAR,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Brown1230,Qualification,2454990,Jenny Martin,Irene McCoy,Hampton15 Inc,Customer,John Williams,Jenny Martin,0068d000009XKktAAG,0018d00000GozuKAAR,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Holt1914,Closed Won,125325,Jenny Martin,Chris Riley,Hampton15 Inc,Customer,John Williams,Jenny Martin,0068d000009XKiVAAW,0018d00000GozuKAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Lloyd1165,Value Proposition,439380,Jenny Martin,Johnny Green,Parker16 Inc,Partner,Julie Chavez,Jenny Martin,0068d000009XKiDAAW,0018d00000GozuLAAR,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Walton1035,Closed Won,2550000,Jenny Martin,Laura Palmer,Bailey19 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKqSAAW,0018d00000GozuOAAR,0058d000004R3sRAAS,0058d000003BJO9AAO
