Company,First Name,Last Name,Email,Online/In Person,Session not attended,Not Attended %
nature,Kimberley,Haslock(e),khaslockeo2@nature.com,Online,Speed Tipping,100
yellowbook,Leland,Carne,lcarneii@yellowbook.com,Online,Speed Tipping,25
illinois,Kerk,Hanselmann,khanselmann3@illinois.edu,Online,Keynote,25
washingtonpost,Olympia,Mussen,omussen3y@washingtonpost.com,Online,Keynote,50
hud,Claudelle,Jeannenet,cjeannenet6h@hud.gov,Online,Devs on Stage,50
topsy,Carissa,Courcey,ccourceyja@topsy.com,Online,Keynote,50
auda,Janice,Wasiel,jwasieldh@auda.org.au,Online,Speed Tipping,100
cornell,Siegfried,Borles,sborlesfm@cornell.edu,Online,Devs on Stage,33.33
google,Leonora,Barker,lbarkerlt@google.co.jp,Online,Speed Tipping,33.33
shareasale,Stefania,Podd,spodd5k@shareasale.com,Online,Iron Viz,50
twitter,Rey,Peploe,rpeploe9j@twitter.com,Online,Speed Tipping,50
dagondesign,Currie,Angood,cangood83@dagondesign.com,Online,Prep Tips & Tricks,33.33
dion,Susette,Constance,sconstancefn@dion.ne.jp,Online,Prep Tips & Tricks,100
storify,Maury,Ciciari,mciciaribt@storify.com,Online,Speed Tipping,66.67
unesco,Madge,Belcham,mbelchammk@unesco.org,Online,Speed Tipping,33.33
istockphoto,Ediva,Havis,ehavismk@istockphoto.com,Online,Iron Viz,33.33
europa,Dot,Joisce,djoisce87@europa.eu,Online,Devs on Stage,40
sun,Carma,Aslum,caslume7@sun.com,Online,Iron Viz,33.33
jalbum,Durward,Blackaller,dblackaller3v@jalbum.net,Online,Speed Tipping,66.67
ow,Maximilien,Edson,medson39@ow.ly,Online,Prep Tips & Tricks,50
trellian,Bev,Loughren,bloughren9v@trellian.com,Online,Speed Tipping,33.33
quantcast,Annabella,Mitro,amitroox@quantcast.com,Online,Keynote,20
nytimes,Pegeen,Woodhouse,pwoodhouse6h@nytimes.com,Online,Speed Tipping,25
list-manage,Ephrem,Finlator,efinlatorg0@list-manage.com,Online,Speed Tipping,25
a8,Almira,Griffoen,agriffoen1f@a8.net,Online,Keynote,50
google,Hoyt,Tidcombe,htidcombeby@google.de,Online,Keynote,33.33
chicagotribune,Lorie,Keener,lkeenerr1@chicagotribune.com,Online,Devs on Stage,33.33
ed,Caprice,Denyer,cdenyer75@ed.gov,Online,Speed Tipping,50
cdbaby,Ignaz,Manshaw,imanshawgj@cdbaby.com,Online,Prep Tips & Tricks,100
google,Natasha,Pumphrey,npumphreypv@google.com.au,Online,Prep Tips & Tricks,25
cornell,Ninette,Frankland,nfranklandnr@cornell.edu,Online,Keynote,25
paginegialle,Glen,Mickan,gmickan36@paginegialle.it,Online,Prep Tips & Tricks,25
businessweek,Clarissa,Sahnow,csahnowch@businessweek.com,Online,Devs on Stage,100
pagesperso-orange,Agnese,Groome,agroomeg4@pagesperso-orange.fr,Online,Iron Viz,50
ed,Ingmar,Stetson,istetsonid@ed.gov,Online,Keynote,50
sciencedirect,Abagael,Simants,asimants4g@sciencedirect.com,Online,Prep Tips & Tricks,33.33
lulu,Husain,Pauer,hpauerjo@lulu.com,Online,Keynote,33.33
live,Murvyn,Scolli,mscolli8e@live.com,Online,Iron Viz,33.33
ca,Enrique,Allabarton,eallabartonqj@ca.gov,Online,Keynote,100
epa,Ruprecht,Bysouth,rbysouth2x@epa.gov,Online,Prep Tips & Tricks,25
blog,See,Deavin,sdeavin6x@blog.com,Online,Keynote,33.33
discuz,Gian,Ainge,gaingeje@discuz.net,Online,Speed Tipping,33.33
drupal,Flss,Lyall,flyallbq@drupal.org,Online,Iron Viz,20
foxnews,Scott,Staresmeare,sstaresmeare9p@foxnews.com,Online,Keynote,25
blogspot,Gale,Rutley,grutley3i@blogspot.com,Online,Keynote,50
pinterest,Jody,Scimone,jscimonebl@pinterest.com,Online,Keynote,33.33
pbs,Erskine,Stanner,estannermz@pbs.org,Online,Speed Tipping,66.67
cafepress,Dareen,Elverstone,delverstone8i@cafepress.com,Online,Prep Tips & Tricks,25
economist,Frederigo,Horbath,fhorbathjg@economist.com,Online,Prep Tips & Tricks,50
meetup,Graehme,Poytress,gpoytressh7@meetup.com,Online,Devs on Stage,33.33
bizjournals,Zared,Glasscoe,zglasscoeht@bizjournals.com,Online,Iron Viz,100
stumbleupon,Alwin,Boutflour,aboutflourah@stumbleupon.com,Online,Iron Viz,33.33
spotify,Wynn,Scranney,wscranneyq0@spotify.com,Online,Iron Viz,33.33
ft,Halsy,M'Barron,hmbarronjz@ft.com,Online,Devs on Stage,33.33
netvibes,Godard,Broadey,gbroadey3m@netvibes.com,Online,Devs on Stage,25
ustream,Kimble,Ibanez,kibanezoe@ustream.tv,Online,Keynote,25
sakura,Ezmeralda,Vincent,evincent7j@sakura.ne.jp,Online,Prep Tips & Tricks,33.33
opera,Brice,Harrell,bharrelley@opera.com,Online,Iron Viz,20
java,Melisandra,Pawnsford,mpawnsfordqg@java.com,Online,Speed Tipping,33.33
github,Tova,Coggin,tcogginbs@github.io,Online,Iron Viz,33.33
hp,Starla,Vinall,svinall9b@hp.com,Online,Prep Tips & Tricks,50
a8,Mort,Moorcraft,mmoorcraftf3@a8.net,Online,Devs on Stage,50
1und1,Claudette,Edel,cedeley@1und1.de,Online,Iron Viz,25
hugedomains,Orland,Kiezler,okiezlerjj@hugedomains.com,Online,Iron Viz,33.33
bloomberg,Nicolais,Grewer,ngrewerik@bloomberg.com,Online,Devs on Stage,33.33
ovh,Wakefield,Lardnar,wlardnar62@ovh.net,Online,Devs on Stage,25
smh,Madeline,Varden,mvarden20@smh.com.au,Online,Speed Tipping,33.33
sbwire,Billie,Batisse,bbatisse45@sbwire.com,Online,Prep Tips & Tricks,100
msu,Francesco,Bartelet,fbartelet7g@msu.edu,Online,Iron Viz,50
thetimes,Starlene,Shailer,sshailer8r@thetimes.co.uk,Online,Iron Viz,33.33
xinhuanet,Malvina,Thyng,mthyngbr@xinhuanet.com,Online,Iron Viz,50
joomla,Clair,Carillo,ccarilloo@joomla.org,Online,Prep Tips & Tricks,100
reference,Hedvige,Darnody,hdarnody2r@reference.com,Online,Iron Viz,33.33
fema,Bryce,Beatson,bbeatsone2@fema.gov,Online,Keynote,100
shutterfly,Tedi,Leitche,tleitchei1@shutterfly.com,Online,Keynote,33.33
dyndns,Morgen,Crennan,mcrennanrp@dyndns.org,Online,Iron Viz,33.33
domainmarket,Perry,Dimitriev,pdimitrievh1@domainmarket.com,Online,Devs on Stage,50
constantcontact,Shelly,Idiens,sidiense@constantcontact.com,Online,Keynote,50
eventbrite,Fiann,Inglish,finglishkq@eventbrite.com,Online,Speed Tipping,50
canalblog,Marylynne,Gooddy,mgooddykt@canalblog.com,Online,Prep Tips & Tricks,50
amazon,Jillana,Trewman,jtrewmanqa@amazon.co.uk,Online,Prep Tips & Tricks,25
google,Vitia,Strelitz,vstrelitz2a@google.nl,Online,Keynote,100
umn,Haywood,Welbourn,hwelbourndb@umn.edu,Online,Iron Viz,50
blogs,Phillida,Yeats,pyeats53@blogs.com,Online,Speed Tipping,50
weibo,Laughton,Foulkes,lfoulkesot@weibo.com,Online,Speed Tipping,33.33
themeforest,Moselle,Pestell,mpestell9w@themeforest.net,Online,Keynote,50
cafepress,Francois,Gawkroge,fgawkroge23@cafepress.com,Online,Iron Viz,25
w3,Ario,Lackmann,alackmannno@w3.org,Online,Iron Viz,33.33
facebook,Leoline,Thornber,lthornbercg@facebook.com,Online,Devs on Stage,25
ox,Madeline,Dehmel,mdehmel88@ox.ac.uk,Online,Iron Viz,50
pcworld,Chick,Airds,cairds4d@pcworld.com,Online,Keynote,33.33
mail,Ebonee,Escritt,eescritta6@mail.ru,Online,Prep Tips & Tricks,20
comcast,Arne,Boom,aboom1o@comcast.net,Online,Iron Viz,50
tripadvisor,Freddie,Mebius,fmebius4c@tripadvisor.com,Online,Iron Viz,25
shutterfly,Sigrid,Gockeler,sgockeler9t@shutterfly.com,Online,Speed Tipping,50
last,Gothart,Harbisher,gharbisheril@last.fm,Online,Keynote,20
about,Thornton,Jerok,tjerok7e@about.com,Online,Devs on Stage,25
privacy,Zsa zsa,Speere,zspeere6r@privacy.gov.au,Online,Prep Tips & Tricks,33.33
marriott,Berti,Teffrey,bteffreyo6@marriott.com,Online,Speed Tipping,50
cpanel,Simonne,Tolossi,stolossi7b@cpanel.net,Online,Keynote,33.33
irs,Lydia,Babington,lbabingtonem@irs.gov,Online,Devs on Stage,50
tinyurl,Minni,Eadmeades,meadmeadesql@tinyurl.com,Online,Devs on Stage,50
ocn,Ari,Yitzhok,ayitzhok6m@ocn.ne.jp,Online,Devs on Stage,33.33
photobucket,Morgen,Batho,mbathoda@photobucket.com,Online,Devs on Stage,33.33
pen,Glory,Charnick,gcharnick3b@pen.io,Online,Iron Viz,100
europa,Janel,Drinkel,jdrinkellk@europa.eu,Online,Iron Viz,50
mit,Trescha,Borge,tborgelb@mit.edu,Online,Speed Tipping,33.33
jalbum,Durward,Blackaller,dblackaller3v@jalbum.net,Online,Devs on Stage,66.67
apple,Ronnica,Landall,rlandallb1@apple.com,Online,Iron Viz,25
who,Emilie,Skpsey,eskpseyn6@who.int,Online,Prep Tips & Tricks,20
sfgate,Marillin,Hafner,mhafner4v@sfgate.com,Online,Keynote,33.33
illinois,Serge,Ranken,srankenbc@illinois.edu,Online,Keynote,100
hugedomains,Albrecht,Aartsen,aaartsene@hugedomains.com,Online,Iron Viz,25
ted,Annalee,Warrender,awarrender79@ted.com,Online,Keynote,100
cbc,Vikky,McComas,vmccomasg5@cbc.ca,Online,Iron Viz,50
narod,Elwin,Hallowes,ehallowesdh@narod.ru,Online,Prep Tips & Tricks,33.33
lycos,Pasquale,Seilmann,pseilmannbb@lycos.com,Online,Prep Tips & Tricks,33.33
kickstarter,Gerty,Newens,gnewensqo@kickstarter.com,Online,Prep Tips & Tricks,33.33
drupal,Abbye,Armytage,aarmytagemy@drupal.org,Online,Prep Tips & Tricks,25
businessweek,Karon,State,kstatepx@businessweek.com,Online,Speed Tipping,20
scientificamerican,Daron,Dmitrienko,ddmitrienko88@scientificamerican.com,Online,Speed Tipping,100
oakley,Amil,Sinnett,asinnett6n@oakley.com,Online,Keynote,33.33
opera,Robinet,Leivers,rleiversq1@opera.com,Online,Prep Tips & Tricks,50
miibeian,Jori,Levy,jlevyn7@miibeian.gov.cn,Online,Keynote,50
icio,Cahra,Lounds,cloundsgm@icio.us,Online,Devs on Stage,33.33
intel,Millicent,Dy,mdynn@intel.com,Online,Devs on Stage,50
washingtonpost,Emlyn,Harbison,eharbisondb@washingtonpost.com,Online,Prep Tips & Tricks,33.33
sitemeter,Myrta,McMurray,mmcmurraydc@sitemeter.com,Online,Speed Tipping,33.33
dropbox,Ardath,Grist,agrist6g@dropbox.com,Online,Speed Tipping,33.33
miitbeian,Jo,Rablan,jrablangc@miitbeian.gov.cn,Online,Keynote,33.33
vinaora,Delaney,Ellgood,dellgoodaq@vinaora.com,Online,Prep Tips & Tricks,33.33
technorati,Blair,Cheesman,bcheesmanhi@technorati.com,Online,Iron Viz,50
cbsnews,Olenka,Edeler,oedelerki@cbsnews.com,Online,Iron Viz,50
bbb,Patty,O'Fihily,pofihilyjj@bbb.org,Online,Prep Tips & Tricks,25
about,Margot,Skally,mskally30@about.me,Online,Devs on Stage,25
wisc,Jemmie,Drillot,jdrillotq1@wisc.edu,Online,Prep Tips & Tricks,25
deliciousdays,Almeda,Hinckes,ahinckes82@deliciousdays.com,Online,Keynote,40
ocn,Jewel,Snowden,jsnowden77@ocn.ne.jp,Online,Keynote,50
cpanel,Tansy,Hark,tharkrn@cpanel.net,Online,Prep Tips & Tricks,33.33
dot,Merle,Kilgrew,mkilgrewfl@dot.gov,Online,Keynote,50
imgur,Enos,Skewis,eskewisrd@imgur.com,Online,Devs on Stage,25
intel,Melvin,Cripwell,mcripwell34@intel.com,Online,Iron Viz,33.33
dedecms,Iggie,Tinman,itinmanfd@dedecms.com,Online,Devs on Stage,50
bloomberg,Barney,Kunkel,bkunkelly@bloomberg.com,Online,Iron Viz,33.33
hubpages,Grete,Zoren,gzorenlp@hubpages.com,Online,Devs on Stage,50
japanpost,Theresita,Perrott,tperrottqa@japanpost.jp,Online,Keynote,25
storify,Maury,Ciciari,mciciaribt@storify.com,Online,Iron Viz,66.67
usda,Hephzibah,Barhem,hbarhemfk@usda.gov,Online,Devs on Stage,100
tripadvisor,Vivienne,Cubbinelli,vcubbinellie9@tripadvisor.com,Online,Prep Tips & Tricks,40
microsoft,Halette,Clelland,hclelland1v@microsoft.com,Online,Iron Viz,25
quantcast,Martynne,Reightley,mreightley49@quantcast.com,Online,Keynote,33.33
admin,Lindy,Mouatt,lmouattq0@admin.ch,Online,Prep Tips & Tricks,25
google,Levin,Ruske,lruskeqx@google.com,Online,Speed Tipping,50
hud,Dorelia,Blowne,dblowne8t@hud.gov,Online,Iron Viz,50
wp,Glynis,Scrivener,gscrivener9i@wp.com,Online,Speed Tipping,33.33
cdbaby,Rubie,Campa,rcampanz@cdbaby.com,Online,Devs on Stage,100
about,Consalve,Lippett,clippettbz@about.com,Online,Speed Tipping,33.33
cloudflare,Redd,Pash,rpashqh@cloudflare.com,Online,Iron Viz,20
soup,Rahal,Milton-White,rmiltonwhitecj@soup.io,Online,Devs on Stage,33.33
unicef,Leandra,Masson,lmassonmc@unicef.org,Online,Keynote,25
cocolog-nifty,Laurella,Valentin,lvalentinp7@cocolog-nifty.com,Online,Speed Tipping,33.33
booking,Cathrine,Matterface,cmatterfacehl@booking.com,Online,Speed Tipping,25
telegraph,Ardyth,Foresight,aforesightio@telegraph.co.uk,Online,Speed Tipping,25
last,Chelsae,Cawdron,ccawdrongf@last.fm,Online,Prep Tips & Tricks,33.33
