Company,First Name,Last Name,Email,Online/In Person,Session not attended,Not Attended %
google,Tedra,Powe,tpowenw@google.pl,Online,Speed Tipping,25.0
de,Thaddus,Warburton,twarburton1g@de.vu,Online,Prep Tips & Tricks,50.0
japanpost,Theresita,Perrott,tperrottqa@japanpost.jp,Online,Keynote,25.0
about,Thornton,Jerok,tjerok7e@about.com,Online,Devs on Stage,25.0
vimeo,Timmi,Geater,tgeatero5@vimeo.com,Online,Prep Tips & Tricks,50.0
about,Tomas,Haxbie,thaxbie94@about.com,Online,Iron Viz,33.33
fotki,Tomi,Salatino,tsalatinoa4@fotki.com,Online,Speed Tipping,50.0
github,Tova,Coggin,tcogginbs@github.io,Online,Iron Viz,33.33
mit,Trescha,Borge,tborgelb@mit.edu,Online,Speed Tipping,33.33
go,Urban,Houlaghan,uhoulaghan76@go.com,Online,Iron Viz,33.33
cbc,Vikky,McComas,vmccomasg5@cbc.ca,Online,Iron Viz,50.0
google,Vitia,Strelitz,vstrelitz2a@google.nl,Online,Keynote,100.0
tripadvisor,Vivienne,Cubbinelli,vcubbinellie9@tripadvisor.com,Online,Speed Tipping,40.0
tripadvisor,Vivienne,Cubbinelli,vcubbinellie9@tripadvisor.com,Online,Prep Tips & Tricks,40.0
go,Waiter,Spivey,wspiveyib@go.com,Online,Iron Viz,50.0
ovh,Wakefield,Lardnar,wlardnar62@ovh.net,Online,Devs on Stage,25.0
123-reg,Willi,Sandeman,wsandemanqz@123-reg.co.uk,Online,Speed Tipping,33.33
spotify,Wynn,Scranney,wscranneyq0@spotify.com,Online,Iron Viz,33.33
yelp,Xenia,McClinton,xmcclinton8a@yelp.com,Online,Keynote,25.0
bizjournals,Zared,Glasscoe,zglasscoeht@bizjournals.com,Online,Iron Viz,100.0
privacy,Zsa zsa,Speere,zspeere6r@privacy.gov.au,Online,Prep Tips & Tricks,33.33
cdbaby,Adolph,Ikin,aikin2u@cdbaby.com,In Person,Prep Tips & Tricks,33.33
miitbeian,Adolph,Sarver,asarveree@miitbeian.gov.cn,In Person,Iron Viz,33.33
statcounter,Adolpho,Jean,ajean5w@statcounter.com,In Person,Prep Tips & Tricks,50.0
lulu,Aleda,Rolls,arollsnr@lulu.com,In Person,Prep Tips & Tricks,100.0
gizmodo,Alexio,Tytherton,atythertonf8@gizmodo.com,In Person,Speed Tipping,50.0
gizmodo,Alexio,Tytherton,atythertonf8@gizmodo.com,In Person,Iron Viz,50.0
networksolutions,Allayne,Kibard,akibardfn@networksolutions.com,In Person,Keynote,40.0
networksolutions,Allayne,Kibard,akibardfn@networksolutions.com,In Person,Iron Viz,40.0
instagram,Ally,Brownill,abrownill3z@instagram.com,In Person,Devs on Stage,50.0
google,Amory,Dracksford,adracksford5s@google.com,In Person,Keynote,33.33
guardian,Anatola,Bailes,abailescy@guardian.co.uk,In Person,Speed Tipping,50.0
smh,Angel,Herreros,aherrerosae@smh.com.au,In Person,Devs on Stage,33.33
fema,Anne-marie,Kubek,akubek9n@fema.gov,In Person,Devs on Stage,33.33
nps,Antonie,Purvis,apurvis1n@nps.gov,In Person,Speed Tipping,20.0
java,Ariel,Brunn,abrunn8o@java.com,In Person,Iron Viz,40.0
java,Ariel,Brunn,abrunn8o@java.com,In Person,Prep Tips & Tricks,40.0
posterous,Artemas,Higbin,ahigbinrj@posterous.com,In Person,Prep Tips & Tricks,33.33
vistaprint,Ashlan,Finnes,afinnesdi@vistaprint.com,In Person,Devs on Stage,33.33
paypal,Ashlin,Deniset,adenisetj6@paypal.com,In Person,Speed Tipping,25.0
twitter,Audi,Champ,achamp5n@twitter.com,In Person,Iron Viz,66.67
twitter,Audi,Champ,achamp5n@twitter.com,In Person,Prep Tips & Tricks,66.67
earthlink,Audrye,Fust,afust1v@earthlink.net,In Person,Iron Viz,25.0
unc,Basia,Garfit,bgarfithb@unc.edu,In Person,Keynote,100.0
unc,Basia,Garfit,bgarfithb@unc.edu,In Person,Speed Tipping,100.0
macromedia,Bear,Keane,bkeane8h@macromedia.com,In Person,Iron Viz,33.33
gravatar,Benedikt,Mattiuzzi,bmattiuzziep@gravatar.com,In Person,Keynote,33.33
thetimes,Benn,Dawney,bdawneyb7@thetimes.co.uk,In Person,Devs on Stage,100.0
dedecms,Berkeley,Lindgren,blindgrenna@dedecms.com,In Person,Prep Tips & Tricks,50.0
hud,Bernie,Zwicker,bzwicker2m@hud.gov,In Person,Speed Tipping,50.0
nih,Bill,Harmant,bharmantc2@nih.gov,In Person,Iron Viz,25.0
imageshack,Brandy,Pidgeley,bpidgeleypl@imageshack.us,In Person,Prep Tips & Tricks,25.0
hud,Brendis,Bloxsom,bbloxsomij@hud.gov,In Person,Keynote,50.0
hud,Brendis,Bloxsom,bbloxsomij@hud.gov,In Person,Iron Viz,50.0
gravatar,Brietta,Amiranda,bamiranda4k@gravatar.com,In Person,Iron Viz,50.0
dot,Broddy,Duer,bduerb@dot.gov,In Person,Iron Viz,50.0
toplist,Cahra,Cadwaladr,ccadwaladrf6@toplist.cz,In Person,Devs on Stage,33.33
prweb,Cal,Dalziell,cdalziell4p@prweb.com,In Person,Keynote,20.0
mapquest,Carlo,Rennox,crennox3j@mapquest.com,In Person,Speed Tipping,100.0
dmoz,Chad,Mitro,cmitro7v@dmoz.org,In Person,Prep Tips & Tricks,33.33
unesco,Charita,Nethercott,cnethercottbh@unesco.org,In Person,Keynote,25.0
amazonaws,Clementine,Willets,cwillets3o@amazonaws.com,In Person,Prep Tips & Tricks,20.0
fda,Constantine,Klezmski,cklezmskieb@fda.gov,In Person,Iron Viz,50.0
desdev,Cullen,Prettyjohn,cprettyjohnph@desdev.cn,In Person,Speed Tipping,100.0
networksolutions,Davine,Ozelton,dozelton9o@networksolutions.com,In Person,Prep Tips & Tricks,50.0
pinterest,Dell,Shynn,dshynngj@pinterest.com,In Person,Keynote,33.33
boston,Demeter,Goggan,dgoggan75@boston.com,In Person,Keynote,33.33
hexun,Derril,McGloin,dmcgloinkl@hexun.com,In Person,Devs on Stage,33.33
senate,Dewitt,Wardhaw,dwardhawpq@senate.gov,In Person,Keynote,50.0
nifty,Diahann,Cristoforo,dcristoforolj@nifty.com,In Person,Devs on Stage,50.0
mapy,Dotti,Chiese,dchiese6j@mapy.cz,In Person,Speed Tipping,33.33
nydailynews,Edmund,Reasun,ereasunno@nydailynews.com,In Person,Prep Tips & Tricks,50.0
dropbox,Evvie,Fidgin,efidginlc@dropbox.com,In Person,Iron Viz,50.0
ifeng,Fanni,Prime,fprime4u@ifeng.com,In Person,Keynote,25.0
constantcontact,Farand,Scurman,fscurman4n@constantcontact.com,In Person,Keynote,100.0
constantcontact,Farand,Scurman,fscurman4n@constantcontact.com,In Person,Speed Tipping,100.0
theatlantic,Fax,Sex,fsexew@theatlantic.com,In Person,Keynote,50.0
cbslocal,Filippo,Hartington,fhartington6v@cbslocal.com,In Person,Speed Tipping,50.0
nasa,Flor,De Ambrosi,fdeambrosips@nasa.gov,In Person,Iron Viz,25.0
spiegel,Flory,Lewin,flewink1@spiegel.de,In Person,Iron Viz,33.33
icq,Francene,Fitzackerley,ffitzackerleye0@icq.com,In Person,Iron Viz,25.0
blogs,Fraze,Forten,fforten4t@blogs.com,In Person,Devs on Stage,33.33
oaic,Galvan,Burfoot,gburfoot81@oaic.gov.au,In Person,Iron Viz,50.0
flickr,Georgette,Jordon,gjordon6k@flickr.com,In Person,Speed Tipping,100.0
yale,Gerik,Byk,gbykcd@yale.edu,In Person,Iron Viz,66.67
yale,Gerik,Byk,gbykcd@yale.edu,In Person,Devs on Stage,66.67
hc360,Giana,Arnout,garnout6j@hc360.com,In Person,Devs on Stage,50.0
indiatimes,Glynis,Clearie,gcleariecl@indiatimes.com,In Person,Iron Viz,33.33
businessinsider,Gottfried,Midford,gmidfordfg@businessinsider.com,In Person,Devs on Stage,33.33
google,Gram,Dreghorn,gdreghorn3e@google.it,In Person,Speed Tipping,33.33
pagesperso-orange,Granthem,Champerlen,gchamperlenil@pagesperso-orange.fr,In Person,Speed Tipping,33.33
seattletimes,Gris,Burkhill,gburkhillq4@seattletimes.com,In Person,Prep Tips & Tricks,33.33
typepad,Griselda,Busain,gbusain5w@typepad.com,In Person,Iron Viz,33.33
wikispaces,Harmony,Scyone,hscyone59@wikispaces.com,In Person,Speed Tipping,50.0
hatena,Herman,Willmott,hwillmottgg@hatena.ne.jp,In Person,Speed Tipping,33.33
smh,Ivett,Biaggi,ibiaggib6@smh.com.au,In Person,Speed Tipping,25.0
slideshare,Jasmina,Westcarr,jwestcarr70@slideshare.net,In Person,Iron Viz,33.33
last,Jennilee,Lipmann,jlipmannja@last.fm,In Person,Devs on Stage,50.0
loc,Jobyna,Felce,jfelce3y@loc.gov,In Person,Prep Tips & Tricks,50.0
netlog,Julissa,Simka,jsimka8z@netlog.com,In Person,Devs on Stage,25.0
army,Kamila,Robjents,krobjentsrp@army.mil,In Person,Keynote,50.0
reddit,Kerwinn,Zimmerman,kzimmerman6f@reddit.com,In Person,Devs on Stage,33.33
columbia,Kettie,Fursse,kfursse5b@columbia.edu,In Person,Speed Tipping,33.33
prlog,Kristien,Brahms,kbrahms61@prlog.org,In Person,Devs on Stage,33.33
nydailynews,Lea,Jahner,ljahneri6@nydailynews.com,In Person,Iron Viz,20.0
wiley,Loise,Capron,lcapronf2@wiley.com,In Person,Iron Viz,25.0
deliciousdays,Loren,Szymaniak,lszymaniakkv@deliciousdays.com,In Person,Prep Tips & Tricks,100.0
baidu,Luz,Owenson,lowenson37@baidu.com,In Person,Keynote,50.0
baidu,Luz,Owenson,lowenson37@baidu.com,In Person,Prep Tips & Tricks,50.0
pinterest,Maddalena,Waldera,mwaldera5l@pinterest.com,In Person,Iron Viz,33.33
ycombinator,Maddie,Boreland,mboreland2g@ycombinator.com,In Person,Iron Viz,25.0
myspace,Manfred,Taw,mtawed@myspace.com,In Person,Speed Tipping,50.0
myspace,Manfred,Taw,mtawed@myspace.com,In Person,Devs on Stage,50.0
quantcast,Marcelline,Braddock,mbraddockqz@quantcast.com,In Person,Prep Tips & Tricks,50.0
meetup,Martin,Somerset,msomerset4@meetup.com,In Person,Speed Tipping,33.33
vk,Meggi,Dann,mdann19@vk.com,In Person,Devs on Stage,50.0
qq,Mercy,Shewry,mshewryfa@qq.com,In Person,Keynote,50.0
chicagotribune,Merridie,Attew,mattew3v@chicagotribune.com,In Person,Devs on Stage,50.0
ow,Mira,Worthy,mworthyfu@ow.ly,In Person,Iron Viz,50.0
yelp,Morgana,Cowper,mcowperql@yelp.com,In Person,Iron Viz,50.0
youtube,Ollie,Grimbaldeston,ogrimbaldestonao@youtube.com,In Person,Prep Tips & Tricks,20.0
thetimes,Orazio,Borrott,oborrottmx@thetimes.co.uk,In Person,Iron Viz,25.0
trellian,Pandora,Beaudry,pbeaudryro@trellian.com,In Person,Iron Viz,33.33
abc,Payton,Pendry,ppendryjx@abc.net.au,In Person,Speed Tipping,33.33
paypal,Pearline,MacFie,pmacfiepr@paypal.com,In Person,Keynote,33.33
php,Philis,Segebrecht,psegebrechtgf@php.net,In Person,Iron Viz,25.0
sina,Prudi,Sefton,psefton98@sina.com.cn,In Person,Prep Tips & Tricks,50.0
army,Prue,Beardsall,pbeardsallho@army.mil,In Person,Keynote,33.33
diigo,Raimondo,Monkeman,rmonkeman1m@diigo.com,In Person,Keynote,25.0
goo,Ralph,Hadrill,rhadrille4@goo.gl,In Person,Iron Viz,33.33
webs,Ramsay,Sallarie,rsallarie54@webs.com,In Person,Speed Tipping,50.0
mozilla,Rand,Fibbit,rfibbitov@mozilla.org,In Person,Iron Viz,50.0
themeforest,Reggi,Couche,rcouche9v@themeforest.net,In Person,Iron Viz,100.0
dmoz,Reynard,Kimber,rkimber7a@dmoz.org,In Person,Keynote,33.33
yandex,Richard,Enden,rendenki@yandex.ru,In Person,Keynote,50.0
hostgator,Robby,Lawrence,rlawrenceq4@hostgator.com,In Person,Prep Tips & Tricks,66.67
hostgator,Robby,Lawrence,rlawrenceq4@hostgator.com,In Person,Devs on Stage,66.67
sun,Rochell,Dahlgren,rdahlgrenlm@sun.com,In Person,Devs on Stage,25.0
princeton,Romeo,Michelet,rmicheletjs@princeton.edu,In Person,Iron Viz,50.0
myspace,Romeo,felip,rfelipbo@myspace.com,In Person,Keynote,25.0
chicagotribune,Rosita,McAster,rmcaster3c@chicagotribune.com,In Person,Keynote,33.33
ebay,Rriocard,Lofty,rloftyi8@ebay.co.uk,In Person,Prep Tips & Tricks,50.0
businessinsider,Rutger,Cawtheray,rcawtheraypw@businessinsider.com,In Person,Iron Viz,25.0
yellowpages,Ryan,Maly,rmalyqj@yellowpages.com,In Person,Iron Viz,66.67
yellowpages,Ryan,Maly,rmalyqj@yellowpages.com,In Person,Prep Tips & Tricks,66.67
gizmodo,Sarette,Thouless,sthoulessob@gizmodo.com,In Person,Prep Tips & Tricks,25.0
yale,Saul,Sikorsky,ssikorskyn@yale.edu,In Person,Iron Viz,50.0
wp,Sayres,Annell,sannellf8@wp.com,In Person,Devs on Stage,33.33
squidoo,Seamus,Aymer,saymer7l@squidoo.com,In Person,Devs on Stage,50.0
nifty,Shamus,Guswell,sguswell4f@nifty.com,In Person,Speed Tipping,33.33
cmu,Shanta,Sands-Allan,ssandsallanfz@cmu.edu,In Person,Speed Tipping,33.33
businessinsider,Shell,Aleksandrev,saleksandrevg2@businessinsider.com,In Person,Prep Tips & Tricks,33.33
booking,Shelley,Cleyburn,scleyburnw@booking.com,In Person,Iron Viz,50.0
forbes,Silvia,Bourbon,sbourbonhm@forbes.com,In Person,Speed Tipping,33.33
jugem,Sula,Koppen,skoppen7i@jugem.jp,In Person,Iron Viz,33.33
ifeng,Talya,Harsant,tharsantox@ifeng.com,In Person,Speed Tipping,50.0
parallels,Terencio,Midner,tmidnerpj@parallels.com,In Person,Devs on Stage,25.0
sphinn,Thayne,enzley,tenzleyc5@sphinn.com,In Person,Prep Tips & Tricks,50.0
opensource,Thomasina,Bartle,tbartlemm@opensource.org,In Person,Prep Tips & Tricks,25.0
yellowbook,Tilda,Slocket,tslocketfn@yellowbook.com,In Person,Devs on Stage,50.0
amazon,Torie,Huffadine,thuffadineid@amazon.co.uk,In Person,Speed Tipping,33.33
bbc,Torrey,Cottle,tcottlek4@bbc.co.uk,In Person,Iron Viz,25.0
umich,Trumann,Garaway,tgaraway9h@umich.edu,In Person,Iron Viz,50.0
latimes,Walther,Belshaw,wbelshawjc@latimes.com,In Person,Speed Tipping,33.33
apple,Wilona,Crumbie,wcrumbien3@apple.com,In Person,Prep Tips & Tricks,33.33
freewebs,Wyatt,MacAdam,wmacadamkn@freewebs.com,In Person,Devs on Stage,33.33
virginia,Yettie,MacMurray,ymacmurray5k@virginia.edu,In Person,Devs on Stage,33.33
feedburner,Zea,Hartopp,zhartoppbu@feedburner.com,In Person,Speed Tipping,20.0
de,Zoe,Ledgister,zledgistera9@de.vu,In Person,Keynote,25.0
